ID,Year,Loan Limit,Gender,Approved in Advance,Loan Type,Loan Purpose,Credit Worthiness,Open Credit,Business Or Commercial,Loan Amount,Rate of Interest,Interest rate spread,Upfront charges,Term(months),Negative Ammortization,Interest Only,Lump Sum Payment,Property Value,Construction Type,Occupancy Type,Secured by,Total Units,Income,Credit Type,Credit Score,Co-applicant Credit Type,Min Age,Max Age,Submission of Application,Loan to Value,Region,Default Status,Debt-to-Income Ratio,LTV Risk Bucket,Credit Score Bucket,i
56785,2019,Conforming Loan,Female,Not Pre-Approved,Conventional,Refinancing,Standard,No,No,"$226,500.00",3.75%,0.0511,"$3,000.00",360,No,No,No,"$288,000.00",Site-Built,Principal Residence,home,1U,"$6,180.00",CIB,627,CIB,55,64,No,78.64583333,North,No,29,Moderate,Fair,
130266,2019,Conforming Loan,Male,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$386,500.00",3.75%,0.2813,"$5,993.08",360,No,No,No,"$598,000.00",Site-Built,Principal Residence,home,1U,"$6,060.00",CIB,788,CIB,25,34,No,64.63210702,North,No,32,Moderate,Very Good,
160928,2019,non Conforming Loan,Female,Not Pre-Approved,Conventional,Refinancing,Standard,No,No,"$216,500.00",4.38%,0.3517,"$2,196.35",360,No,No,No,"$358,000.00",Site-Built,Principal Residence,home,1U,"$2,340.00",CIB,585,CIB,45,54,Yes,60.47486034,North,No,44,Moderate,Fair,
45678,2019,Conforming Loan,Male,Not Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$216,500.00",3.99%,0.3831,$0.00,360,No,No,No,"$258,000.00",Site-Built,Principal Residence,home,1U,"$3,240.00",CIB,741,CIB,35,44,No,83.91472868,South,Yes,44,High,Very Good,
92094,2019,Conforming Loan,Male,Pre-Approved,Federal Housing Administration,Home Purchase,Standard,No,Yes,"$276,500.00",5.38%,1.9802,$0.00,360,Yes,No,No,"$288,000.00",Site-Built,Principal Residence,home,1U,"$6,240.00",CRIF,545,CIB,35,44,Yes,96.00694444,Central,No,41,High,Poor ,
82847,2019,Conforming Loan,Joint,Not Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$306,500.00",4.38%,0.4159,"$4,927.00",360,No,No,No,"$378,000.00",Site-Built,Principal Residence,home,1U,"$6,660.00",CRIF,727,EXP,65,74,Yes,81.08465608,North,No,31,High,Good ,
63559,2019,Conforming Loan,Joint,Not Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$476,500.00",4.13%,0.2237,"$16,892.00",360,No,No,No,"$638,000.00",Site-Built,Investment Property,home,1U,"$5,520.00",CIB,875,EXP,45,54,Yes,74.68652038,North,No,37,Moderate,Excellent,
138938,2019,Conforming Loan,Joint,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$436,500.00",3.75%,0.2576,"$5,378.75",360,No,No,No,"$488,000.00",Site-Built,Principal Residence,home,1U,"$6,120.00",CRIF,633,EXP,35,44,No,89.44672131,North,No,43,High,Fair,
25711,2019,Conforming Loan,Unknown,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$486,500.00",3.99%,0.3831,$0.00,324,Yes,Yes,No,"$418,000.00",Site-Built,Principal Residence,home,1U,"$6,720.00",EQUI,867,EXP,35,44,Yes,116.3875598,South,Yes,39,Very High,Excellent,
64972,2019,Conforming Loan,Unknown,Not Pre-Approved,Conventional,Refinancing,Standard,No,No,"$86,500.00",4.38%,0.8936,"$3,327.24",360,No,No,No,"$268,000.00",Site-Built,Principal Residence,home,1U,"$2,100.00",EXP,704,CIB,55,64,Yes,32.2761194,South,No,37,Low,Good ,
85652,2019,Conforming Loan,Female,Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$276,500.00",3.99%,0.5446,$0.00,360,No,No,No,"$288,000.00",Site-Built,Principal Residence,home,1U,"$6,960.00",CRIF,898,CIB,25,34,No,96.00694444,North,No,21,High,Excellent,
170436,2019,Conforming Loan,Joint,Not Pre-Approved,Federal Housing Administration,Cash-out Refinancing,Standard,No,Yes,"$116,500.00",3.99%,0.3831,$0.00,240,No,No,No,"$268,000.00",Site-Built,Principal Residence,home,1U,"$4,680.00",CRIF,683,EXP,45,54,Yes,43.47014925,North,Yes,24,Low,Good ,
51782,2019,Conforming Loan,Male,Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$206,500.00",4.88%,1.434,"$5,380.96",360,No,No,No,"$268,000.00",Site-Built,Investment Property,home,1U,"$1,500.00",CIB,716,CIB,55,64,Yes,77.05223881,North,No,34,Moderate,Good ,
80974,2019,Conforming Loan,Unknown,Not Pre-Approved,Conventional,Refinancing,Standard,No,No,"$196,500.00",3.75%,0.2774,"$5,226.10",360,No,No,No,"$258,000.00",Site-Built,Principal Residence,home,1U,"$2,520.00",CIB,664,CIB,55,64,Yes,76.1627907,South,No,36,Moderate,Fair,
129375,2019,non Conforming Loan,Male,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$676,500.00",3.50%,-0.2735,"$2,931.19",360,No,No,No,"$1,408,000.00",Site-Built,Principal Residence,home,1U,"$16,680.00",CIB,792,CIB,45,54,Yes,48.046875,North,No,20,Low,Very Good,
97084,2019,Conforming Loan,Male,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$386,500.00",3.63%,0.05,"$1,960.56",360,No,Yes,No,"$608,000.00",Site-Built,Principal Residence,home,1U,"$4,020.00",CIB,808,CIB,45,54,No,63.56907895,South,No,42,Moderate,Excellent,
132737,2019,Conforming Loan,Male,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$156,500.00",3.99%,0.716,"$4,352.00",240,No,No,No,"$308,000.00",Site-Built,Principal Residence,home,1U,"$7,260.00",CRIF,832,EXP,55,64,Yes,50.81168831,North,No,43,Low,Excellent,
34844,2019,Conforming Loan,Male,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$506,500.00",4.00%,0.4474,$0.00,360,No,No,No,"$538,000.00",Site-Built,Principal Residence,home,1U,"$6,120.00",EXP,695,CIB,35,44,No,94.14498141,North,No,43,High,Good ,
119571,2019,non Conforming Loan,Joint,Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$1,206,500.00",3.99%,0.3831,$0.00,360,No,No,No,"$418,000.00",Site-Built,Principal Residence,home,1U,"$25,620.00",EQUI,700,EXP,35,44,No,288.6363636,South,Yes,39,Very High,Good ,
145170,2019,non Conforming Loan,Male,Not Pre-Approved,Conventional,Refinancing,Standard,No,No,"$1,336,500.00",3.99%,0.3831,$0.00,360,No,No,No,"$2,068,000.00",Site-Built,Principal Residence,home,1U,"$4,800.00",CRIF,536,CIB,65,74,No,64.62765957,South,Yes,44,Moderate,Poor ,
67172,2019,Conforming Loan,Male,Not Pre-Approved,Conventional,Refinancing,Non-Standard,No,No,"$76,500.00",4.50%,1.4503,"$2,570.00",180,No,No,No,"$128,000.00",Site-Built,Principal Residence,home,1U,"$2,340.00",CIB,735,CIB,65,74,Yes,59.765625,North,No,27,Low,Good ,
97069,2019,Conforming Loan,Joint,Not Pre-Approved,Conventional,Refinancing,Standard,No,No,"$396,500.00",3.99%,0.5521,"$7,111.28",360,No,No,No,"$538,000.00",Site-Built,Principal Residence,home,1U,"$4,920.00",CRIF,812,EXP,35,44,No,73.69888476,North,No,41,Moderate,Excellent,
133916,2019,Conforming Loan,Joint,Not Pre-Approved,Conventional,Refinancing,Standard,No,No,"$86,500.00",4.75%,0.7294,"$2,850.00",360,No,No,No,"$208,000.00",Site-Built,Principal Residence,home,1U,"$3,060.00",EXP,891,EXP,65,74,Yes,41.58653846,South,No,38,Low,Excellent,
44748,2019,non Conforming Loan,Joint,Not Pre-Approved,Veterans Affairs,Refinancing,Standard,No,No,"$806,500.00",3.99%,0.588,$999.00,360,Yes,Yes,No,"$898,000.00",Site-Built,Principal Residence,home,1U,"$9,360.00",CIB,541,EXP,55,64,No,89.81069042,North,No,50,High,Poor ,
150919,2019,Conforming Loan,Unknown,Not Pre-Approved,Conventional,Refinancing,Standard,No,No,"$486,500.00",3.25%,-0.2507,$795.00,360,No,No,No,"$828,000.00",Site-Built,Principal Residence,home,1U,"$7,860.00",CRIF,792,CIB,74,74,Yes,58.75603865,South,No,36,Low,Very Good,
144945,2019,Conforming Loan,Female,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$646,500.00",4.25%,-0.083,$380.75,360,No,No,No,"$988,000.00",Site-Built,Principal Residence,home,1U,"$7,800.00",EXP,847,EXP,35,44,No,65.43522267,South,No,45,Moderate,Excellent,
139631,2019,Conforming Loan,Male,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$286,500.00",3.50%,-0.1152,"$7,362.50",360,No,No,No,"$358,000.00",Site-Built,Principal Residence,home,1U,"$5,400.00",EXP,780,CIB,35,44,Yes,80.02793296,Central,No,41,High,Very Good,
145820,2019,Conforming Loan,Male,Not Pre-Approved,Conventional,Home Improvement,Standard,Yes,No,"$356,500.00",6.24%,0.982,$0.00,360,No,Yes,No,"$508,000.00",Site-Built,Principal Residence,home,1U,"$6,000.00",CIB,576,CIB,55,64,Yes,70.17716535,North,No,41,Moderate,Poor ,
93749,2019,Conforming Loan,Joint,Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$136,500.00",3.99%,0.6177,"$5,055.00",360,No,No,No,"$178,000.00",Site-Built,Secondary Residence,home,1U,"$5,940.00",EXP,523,EXP,55,64,Yes,76.68539326,North,No,38,Moderate,Poor ,
77118,2019,Conforming Loan,Unknown,Not Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$256,500.00",3.38%,-0.1556,"$2,392.45",360,No,No,No,"$308,000.00",Site-Built,Principal Residence,home,1U,"$6,900.00",EXP,719,EXP,25,34,Yes,83.27922078,South,No,30,High,Good ,
154361,2019,Conforming Loan,Joint,Not Pre-Approved,Conventional,Cash-out Refinancing,Non-Standard,No,No,"$226,500.00",3.75%,0.0413,"$2,565.69",360,No,No,No,"$1,558,000.00",Site-Built,Investment Property,home,1U,"$12,360.00",CIB,593,EXP,55,64,Yes,14.53786906,North,No,7,Low,Fair,
46407,2019,Conforming Loan,Unknown,Not Pre-Approved,Conventional,Refinancing,Standard,No,No,"$226,500.00",3.75%,0.2752,"$3,744.13",360,Yes,No,No,"$508,000.00",Site-Built,Principal Residence,home,1U,"$3,480.00",CIB,680,CIB,65,74,Yes,44.58661417,South,No,41,Low,Good ,
145031,2019,Conforming Loan,Joint,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$386,500.00",3.99%,-0.0452,"$5,575.00",360,No,No,No,"$478,000.00",Site-Built,Principal Residence,home,1U,"$9,900.00",CRIF,690,EXP,25,34,No,80.85774059,North,No,33,High,Good ,
155019,2019,Conforming Loan,Male,Not Pre-Approved,Veterans Affairs,Refinancing,Standard,No,No,"$196,500.00",3.99%,0.3831,$0.00,360,No,No,No,"$228,000.00",Site-Built,Principal Residence,home,1U,"$5,340.00",CIB,512,CIB,35,44,Yes,86.18421053,South,Yes,59,High,Poor ,
79048,2019,non Conforming Loan,Unknown,Pre-Approved,Federal Housing Administration,Home Purchase,Standard,No,Yes,"$136,500.00",3.99%,1.3996,"$1,570.04",360,No,No,No,"$148,000.00",Site-Built,Principal Residence,home,1U,"$2,280.00",EXP,548,EXP,25,34,Yes,92.22972973,South,No,57,High,Poor ,
160736,2019,Conforming Loan,Joint,Pre-Approved,Veterans Affairs,Cash-out Refinancing,Standard,No,No,"$526,500.00",3.88%,0.1181,$0.00,360,No,No,No,"$528,000.00",Site-Built,Principal Residence,home,1U,"$5,760.00",EXP,503,EXP,25,34,No,99.71590909,South,No,39,High,Poor ,
138657,2019,Conforming Loan,Female,Not Pre-Approved,Conventional,Refinancing,Standard,No,No,"$166,500.00",3.99%,1.1498,"$3,438.25",168,No,No,No,"$298,000.00",Site-Built,Secondary Residence,home,1U,"$5,100.00",CRIF,612,CIB,55,64,Yes,55.87248322,Central,No,37,Low,Fair,
131052,2019,non Conforming Loan,Unknown,Not Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$546,500.00",3.88%,0.107,"$2,835.00",360,No,No,No,"$688,000.00",Site-Built,Principal Residence,home,1U,"$9,300.00",CRIF,572,EXP,35,44,Yes,79.43313953,South,No,37,Moderate,Poor ,
42862,2019,non Conforming Loan,Male,Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$706,500.00",3.99%,0.2279,$795.00,360,No,No,No,"$878,000.00",Site-Built,Principal Residence,home,1U,"$14,760.00",CIB,616,CIB,35,44,Yes,80.46697039,North,No,21,High,Fair,
75051,2019,Conforming Loan,Female,Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$546,500.00",3.99%,0.3831,$0.00,360,No,No,No,"$418,000.00",Site-Built,Secondary Residence,home,1U,"$20,100.00",EQUI,897,EXP,55,64,No,130.7416268,North,Yes,39,Very High,Excellent,
75121,2019,Conforming Loan,Male,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$486,500.00",3.99%,0.3831,$0.00,360,No,No,Yes,"$418,000.00",Site-Built,Investment Property,home,1U,"$10,620.00",EQUI,507,EXP,35,44,No,116.3875598,North,Yes,39,Very High,Poor ,
56965,2019,Conforming Loan,Joint,Not Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$196,500.00",3.99%,1.2561,"$2,710.63",360,No,No,No,"$208,000.00",Site-Built,Principal Residence,home,1U,"$9,900.00",CIB,632,EXP,45,54,Yes,94.47115385,South,No,34,High,Fair,
74931,2019,Conforming Loan,Female,Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$156,500.00",4.38%,0.453,"$4,485.00",360,No,No,No,"$198,000.00",Site-Built,Principal Residence,home,1U,"$5,580.00",CIB,743,CIB,55,64,Yes,79.04040404,North,No,37,Moderate,Very Good,
34463,2019,non Conforming Loan,Joint,Not Pre-Approved,Veterans Affairs,Refinancing,Standard,No,No,"$586,500.00",3.99%,0.3831,$0.00,360,No,Yes,No,"$678,000.00",Site-Built,Principal Residence,home,1U,"$6,660.00",CRIF,812,EXP,65,74,No,86.50442478,South,Yes,59,High,Excellent,
66604,2019,Conforming Loan,Joint,Not Pre-Approved,Veterans Affairs,Cash-out Refinancing,Standard,No,No,"$476,500.00",2.99%,-0.511,"$4,624.49",360,No,Yes,No,"$618,000.00",Site-Built,Principal Residence,home,1U,"$5,760.00",CIB,775,EXP,55,64,Yes,77.10355987,North,No,39,Moderate,Very Good,
30651,2019,Conforming Loan,Male,Not Pre-Approved,Veterans Affairs,Refinancing,Standard,No,No,"$426,500.00",3.49%,-0.1398,"$4,200.00",360,No,No,No,"$428,000.00",Site-Built,Principal Residence,home,1U,"$6,540.00",EXP,849,CIB,65,74,Yes,99.64953271,North,No,32,High,Excellent,
66716,2019,Conforming Loan,Male,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$306,500.00",3.99%,0.3831,$0.00,360,No,Yes,No,"$338,000.00",Site-Built,Principal Residence,home,1U,"$4,620.00",CRIF,766,CIB,35,44,Yes,90.68047337,South,Yes,34,High,Very Good,
146858,2019,Conforming Loan,Male,Pre-Approved,Veterans Affairs,Refinancing,Standard,No,No,"$106,500.00",3.63%,-0.0758,"$2,000.00",360,No,No,No,"$138,000.00",Site-Built,Principal Residence,home,1U,"$1,320.00",CRIF,503,CIB,65,74,Yes,77.17391304,South,No,37,Moderate,Poor ,
110028,2019,non Conforming Loan,Joint,Not Pre-Approved,Veterans Affairs,Cash-out Refinancing,Standard,No,No,"$556,500.00",3.38%,-0.3581,$155.02,360,No,No,No,"$578,000.00",Site-Built,Principal Residence,home,1U,"$5,760.00",CRIF,856,EXP,35,44,No,96.28027682,South,No,39,High,Excellent,
76070,2019,Conforming Loan,Female,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$566,500.00",4.13%,0.5092,$170.70,360,Yes,No,No,"$728,000.00",Site-Built,Principal Residence,home,1U,"$6,540.00",CRIF,800,CIB,35,44,No,77.81593407,North,No,41,Moderate,Excellent,
38202,2019,Conforming Loan,Unknown,Not Pre-Approved,Conventional,Home Improvement,Standard,No,No,"$206,500.00",3.25%,-0.2538,$0.00,360,No,No,Yes,"$358,000.00",Site-Built,Principal Residence,home,1U,"$2,520.00",EXP,616,CIB,55,64,Yes,57.68156425,South,No,46,Low,Fair,
88623,2019,Conforming Loan,Female,Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$406,500.00",3.88%,0.1514,"$4,292.00",360,No,No,No,"$488,000.00",Site-Built,Principal Residence,home,1U,"$6,600.00",CIB,849,CIB,55,64,Yes,83.29918033,North,No,39,High,Excellent,
137715,2019,Conforming Loan,Female,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$226,500.00",3.63%,0.0641,$812.00,360,No,No,No,"$588,000.00",Site-Built,Principal Residence,home,1U,"$4,260.00",CIB,728,CIB,55,64,No,38.52040816,North,No,21,Low,Good ,
85615,2019,Conforming Loan,Unknown,Not Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$726,500.00",4.99%,0.7452,"$2,058.16",360,No,No,No,"$848,000.00",Site-Built,Principal Residence,home,1U,"$11,700.00",CRIF,787,CIB,35,44,Yes,85.67216981,South,No,40,High,Very Good,
87887,2019,Conforming Loan,Female,Not Pre-Approved,Conventional,Home Purchase,Non-Standard,No,No,"$56,500.00",3.99%,0.3831,$0.00,300,Yes,No,No,"$58,000.00",Site-Built,Principal Residence,home,1U,"$1,440.00",CIB,693,CIB,55,64,Yes,97.4137931,North,Yes,57,High,Good ,
125643,2019,Conforming Loan,Joint,Not Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$396,500.00",3.75%,-0.0272,$0.00,360,No,No,No,"$528,000.00",Site-Built,Principal Residence,home,1U,"$11,460.00",EXP,730,EXP,55,64,No,75.09469697,North,No,48,Moderate,Good ,
171796,2019,Conforming Loan,Unknown,Not Pre-Approved,Federal Housing Administration,Home Improvement,Standard,No,Yes,"$56,500.00",3.99%,0.3831,$0.00,360,No,No,Yes,"$418,000.00",Site-Built,Principal Residence,home,1U,"$1,140.00",EQUI,858,EXP,55,64,Yes,13.51674641,South,Yes,39,Low,Excellent,
102914,2019,Conforming Loan,Unknown,Not Pre-Approved,Conventional,Home Purchase,Standard,No,No,"$106,500.00",5.50%,1.2348,"$2,753.35",360,Yes,No,No,"$148,000.00",Site-Built,Investment Property,home,1U,"$7,680.00",EXP,744,EXP,45,54,Yes,71.95945946,South,No,32,Moderate,Very Good,
81296,2019,Conforming Loan,Unknown,Not Pre-Approved,Conventional,Cash-out Refinancing,Standard,No,No,"$156,500.00",3.99%,0.3831,$0.00,360,No,No,No,"$418,000.00",Site-Built,Principal Residence,home,1U,"$1,740.00",EQUI,531,EXP,65,74,Yes,37.44019139,South,Yes,39,Low,Poor ,
102183,2019,Conforming Loan,Unknown,Not Pre-Approved,Veterans Affairs,Cash-out Refinancing,Standard,No,No,"$316,500.00",3.25%,-0.4137,"$3,580.32",360,No,No,No,"$368,000.00",Site-Built,Principal Residence,home,1U,"$5,760.00",CRIF,552,EXP,65,74,Yes,86.00543478,South,No,39,High,Poor ,
94225,2019,Conforming Loan,Unknown,Not Pre-Approved,Conventional,Refinancing,Standard,No,No,"$296,500.00",4.50%,-0.0559,"$6,578.60",360,No,No,No,"$508,000.00",Site-Built,Principal Residence,home,1U,"$6,540.00",EXP,549,CIB,65,74,Yes,58.36614173,South,No,22,Low,Poor ,
33503,2019,Conforming Loan,Unknown,Not Pre-Approved,Veterans Affairs,Cash-out Refinancing,Standard,No,No,"$156,500.00",3.38%,-0.3314,$594.75,360,No,No,No,"$188,000.00",Site-Built,Principal Residence,home,1U,"$5,760.00",EXP,823,EXP,55,64,Yes,83.24468085,South,No,39,High,Excellent,
