ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1
32768,2019,cf,Male,nopre,type3,p4,l1,nopc,nob/c,586500,3.25,-0.456,46.9,360,not_neg,not_int,not_lpsm,828000,sb,pr,home,1U,,CIB,629,CIB,65-74,not_inst,70.83333333,North,direct,0,
102033,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,146500,4.125,1.022,4210,180,not_neg,not_int,not_lpsm,188000,sb,pr,home,1U,5940,CRIF,687,EXP,45-54,to_inst,77.92553191,North,direct,0,49
131974,2019,cf,Joint,nopre,type1,p1,l2,nopc,nob/c,706500,,,,360,not_neg,not_int,not_lpsm,828000,sb,pr,home,1U,6480,CRIF,682,EXP,55-64,not_inst,85.32608696,North,direct,1,58
56714,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,426500,3.75,0.0291,1258.25,360,not_neg,not_int,not_lpsm,578000,sb,pr,home,1U,6300,CRIF,829,CIB,25-34,not_inst,73.78892734,North,direct,0,41
73024,2019,cf,Sex Not Available,nopre,type3,p4,l1,nopc,nob/c,316500,3.875,0.2422,0,360,not_neg,not_int,not_lpsm,308000,sb,pr,home,1U,,EXP,713,CIB,35-44,to_inst,102.7597403,south,direct,0,
125577,2019,cf,Male,pre,type1,p1,l1,nopc,nob/c,176500,4.625,0.4461,3331.29,360,neg_amm,not_int,not_lpsm,178000,sb,pr,home,1U,3840,CRIF,890,CIB,25-34,to_inst,99.15730337,North,direct,0,24
54638,2019,cf,Joint,nopre,type2,p1,l1,nopc,b/c,226500,,,,360,not_neg,not_int,not_lpsm,238000,sb,pr,home,1U,6300,CIB,617,EXP,25-34,to_inst,95.16806723,North,direct,1,39
71221,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,236500,4.25,0.7527,7596.88,360,not_neg,not_int,lpsm,288000,sb,pr,home,1U,4440,CRIF,597,CIB,55-64,to_inst,82.11805556,south,direct,0,44
114053,2019,,Joint,nopre,type1,p1,l1,nopc,nob/c,446500,3.99,-0.105,321.4,360,not_neg,not_int,not_lpsm,558000,sb,pr,home,1U,7860,CIB,707,EXP,45-54,not_inst,80.01792115,south,direct,0,38
56785,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,226500,3.75,0.0511,3000,360,not_neg,not_int,not_lpsm,288000,sb,pr,home,1U,6180,CIB,627,CIB,55-64,not_inst,78.64583333,North,direct,0,29
130266,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,386500,3.75,0.2813,5993.08,360,not_neg,not_int,not_lpsm,598000,sb,pr,home,1U,6060,CIB,788,CIB,25-34,not_inst,64.63210702,North,direct,0,32
160928,2019,ncf,Female,nopre,type1,p3,l1,nopc,nob/c,216500,4.375,0.3517,2196.35,360,not_neg,not_int,not_lpsm,358000,sb,pr,home,1U,2340,CIB,585,CIB,45-54,to_inst,60.47486034,North,direct,0,44
45678,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,216500,,,,360,not_neg,not_int,not_lpsm,258000,sb,pr,home,1U,3240,CIB,741,CIB,35-44,not_inst,83.91472868,south,direct,1,44
92094,2019,cf,Male,pre,type2,p1,l1,nopc,b/c,276500,5.375,1.9802,0,360,neg_amm,not_int,not_lpsm,288000,sb,pr,home,1U,6240,CRIF,545,CIB,35-44,to_inst,96.00694444,central,direct,0,41
82847,2019,,Joint,nopre,type1,p1,l1,nopc,nob/c,306500,4.375,0.4159,4927,360,not_neg,not_int,not_lpsm,378000,sb,pr,home,1U,6660,CRIF,727,EXP,65-74,to_inst,81.08465608,North,direct,0,31
63559,2019,cf,Joint,,type1,p1,l1,nopc,nob/c,476500,4.125,0.2237,16892,360,not_neg,not_int,not_lpsm,638000,sb,ir,home,1U,5520,CIB,875,EXP,45-54,to_inst,74.68652038,North,direct,0,37
138938,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,436500,3.75,0.2576,5378.75,360,not_neg,not_int,not_lpsm,488000,sb,pr,home,1U,6120,CRIF,633,EXP,35-44,not_inst,89.44672131,North,direct,0,43
25711,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,486500,,,,324,neg_amm,int_only,not_lpsm,,sb,pr,home,1U,6720,EQUI,867,EXP,35-44,to_inst,,south,direct,1,
64972,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,86500,4.375,0.8936,3327.24,360,not_neg,not_int,not_lpsm,268000,sb,pr,home,1U,2100,EXP,704,CIB,55-64,to_inst,32.2761194,south,direct,0,37
85652,2019,cf,Female,pre,type1,p1,l1,nopc,nob/c,276500,3.99,0.5446,0,360,not_neg,not_int,not_lpsm,288000,sb,pr,home,1U,6960,CRIF,898,CIB,25-34,not_inst,96.00694444,North,direct,0,21
170436,2019,cf,Joint,nopre,type2,p4,l1,nopc,b/c,116500,,,,240,not_neg,not_int,not_lpsm,268000,sb,pr,home,1U,4680,CRIF,683,EXP,45-54,to_inst,43.47014925,North,direct,1,24
51782,2019,cf,Male,pre,type1,p1,l1,nopc,nob/c,206500,4.875,1.434,5380.96,360,not_neg,not_int,not_lpsm,268000,sb,ir,home,1U,1500,CIB,716,CIB,55-64,to_inst,77.05223881,North,direct,0,34
80974,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,196500,3.75,0.2774,5226.1,360,not_neg,not_int,not_lpsm,258000,sb,pr,home,1U,2520,CIB,664,CIB,55-64,to_inst,76.1627907,south,direct,0,36
129375,2019,ncf,Male,nopre,type1,p4,l1,nopc,nob/c,676500,3.5,-0.2735,2931.19,360,not_neg,not_int,not_lpsm,1408000,sb,pr,home,1U,16680,CIB,792,CIB,45-54,to_inst,48.046875,North,direct,0,20
97084,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,386500,3.625,0.05,1960.56,360,not_neg,int_only,not_lpsm,608000,sb,pr,home,1U,4020,CIB,808,CIB,45-54,not_inst,63.56907895,south,direct,0,42
132737,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,156500,3.99,0.716,4352,240,not_neg,not_int,not_lpsm,308000,sb,pr,home,1U,7260,CRIF,832,EXP,55-64,to_inst,50.81168831,North,direct,0,43
34844,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,506500,4,0.4474,0,360,not_neg,not_int,not_lpsm,538000,sb,pr,home,1U,6120,EXP,695,CIB,35-44,not_inst,94.14498141,North,direct,0,43
119571,2019,ncf,Joint,pre,type1,p1,l1,nopc,nob/c,1206500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,25620,EQUI,700,EXP,35-44,not_inst,,south,direct,1,
145170,2019,ncf,Male,nopre,type1,p3,l1,nopc,nob/c,1336500,,,,360,not_neg,not_int,not_lpsm,2068000,sb,pr,home,1U,4800,CRIF,536,CIB,65-74,not_inst,64.62765957,south,direct,1,44
67172,2019,cf,Male,nopre,type1,p3,l2,nopc,nob/c,76500,4.5,1.4503,2570,180,not_neg,not_int,not_lpsm,128000,sb,pr,home,1U,2340,CIB,735,CIB,65-74,to_inst,59.765625,North,direct,0,27
97069,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,396500,3.99,0.5521,7111.28,360,not_neg,not_int,not_lpsm,538000,sb,pr,home,1U,4920,CRIF,812,EXP,35-44,not_inst,73.69888476,North,direct,0,41
133916,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,86500,4.75,0.7294,2850,360,not_neg,not_int,not_lpsm,208000,sb,pr,home,1U,3060,EXP,891,EXP,65-74,to_inst,41.58653846,south,direct,0,38
44748,2019,ncf,Joint,nopre,type3,p3,l1,nopc,nob/c,806500,3.99,0.588,999,360,neg_amm,int_only,not_lpsm,898000,sb,pr,home,1U,9360,CIB,541,EXP,55-64,not_inst,89.81069042,North,direct,0,50
150919,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,486500,3.25,-0.2507,795,360,not_neg,not_int,not_lpsm,828000,sb,pr,home,1U,7860,CRIF,792,CIB,>74,to_inst,58.75603865,south,direct,0,36
144945,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,646500,4.25,-0.083,380.75,360,not_neg,not_int,not_lpsm,988000,sb,pr,home,1U,7800,EXP,847,EXP,35-44,not_inst,65.43522267,south,direct,0,45
139631,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,286500,3.5,-0.1152,7362.5,360,not_neg,not_int,not_lpsm,358000,sb,pr,home,1U,5400,EXP,780,CIB,35-44,to_inst,80.02793296,central,direct,0,41
145820,2019,cf,Male,nopre,type1,p2,l1,opc,nob/c,356500,6.24,0.982,,360,not_neg,int_only,not_lpsm,508000,sb,pr,home,1U,6000,CIB,576,CIB,55-64,to_inst,70.17716535,North,direct,0,41
93749,2019,cf,Joint,pre,type1,p1,l1,nopc,nob/c,136500,3.99,0.6177,5055,360,not_neg,not_int,not_lpsm,178000,sb,sr,home,1U,5940,EXP,523,EXP,55-64,to_inst,76.68539326,North,direct,0,38
77118,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,256500,3.375,-0.1556,2392.45,360,not_neg,not_int,not_lpsm,308000,sb,pr,home,1U,6900,EXP,719,EXP,25-34,to_inst,83.27922078,south,direct,0,30
154361,2019,cf,Joint,nopre,type1,p4,l2,nopc,nob/c,226500,3.75,0.0413,2565.69,360,not_neg,not_int,not_lpsm,1558000,sb,ir,home,1U,12360,CIB,593,EXP,55-64,to_inst,14.53786906,North,direct,0,7
46407,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,226500,3.75,0.2752,3744.13,360,neg_amm,not_int,not_lpsm,508000,sb,pr,home,1U,3480,CIB,680,CIB,65-74,to_inst,44.58661417,south,direct,0,41
145031,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,386500,3.99,-0.0452,5575,360,not_neg,not_int,not_lpsm,478000,sb,pr,home,1U,9900,CRIF,690,EXP,25-34,not_inst,80.85774059,North,direct,0,33
155019,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,196500,,,,360,not_neg,not_int,not_lpsm,228000,sb,pr,home,1U,5340,CIB,512,CIB,35-44,to_inst,86.18421053,south,direct,1,59
79048,2019,ncf,Sex Not Available,pre,type2,p1,l1,nopc,b/c,136500,3.99,1.3996,1570.04,360,not_neg,not_int,not_lpsm,148000,sb,pr,home,1U,2280,EXP,548,EXP,25-34,to_inst,92.22972973,south,direct,0,57
160736,2019,cf,Joint,pre,type3,p4,l1,nopc,nob/c,526500,3.875,0.1181,0,360,not_neg,not_int,not_lpsm,528000,sb,pr,home,1U,,EXP,503,EXP,25-34,not_inst,99.71590909,south,direct,0,
138657,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,166500,3.99,1.1498,3438.25,168,not_neg,not_int,not_lpsm,298000,sb,sr,home,1U,5100,CRIF,612,CIB,55-64,to_inst,55.87248322,central,direct,0,37
131052,2019,ncf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,546500,3.875,0.107,2835,360,not_neg,not_int,not_lpsm,688000,sb,pr,home,1U,9300,CRIF,572,EXP,35-44,to_inst,79.43313953,south,direct,0,37
42862,2019,ncf,Male,pre,type1,p1,l1,nopc,nob/c,706500,3.99,0.2279,795,360,not_neg,not_int,not_lpsm,878000,sb,pr,home,1U,14760,CIB,616,CIB,35-44,to_inst,80.46697039,North,direct,0,21
75051,2019,cf,Female,pre,type1,p1,l1,nopc,nob/c,546500,,,,360,not_neg,not_int,not_lpsm,,sb,sr,home,1U,20100,EQUI,897,EXP,55-64,not_inst,,North,direct,1,
75121,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,486500,,,,360,not_neg,not_int,lpsm,,sb,ir,home,1U,10620,EQUI,507,EXP,35-44,not_inst,,North,direct,1,
56965,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,196500,3.99,1.2561,2710.63,360,not_neg,not_int,not_lpsm,208000,sb,pr,home,1U,9900,CIB,632,EXP,45-54,to_inst,94.47115385,south,direct,0,34
74931,2019,cf,Female,pre,type1,p1,l1,nopc,nob/c,156500,4.375,0.453,4485,360,not_neg,not_int,not_lpsm,198000,sb,pr,home,1U,5580,CIB,743,CIB,55-64,to_inst,79.04040404,North,direct,0,37
34463,2019,ncf,Joint,nopre,type3,p3,l1,nopc,nob/c,586500,,,,360,not_neg,int_only,not_lpsm,678000,sb,pr,home,1U,6660,CRIF,812,EXP,65-74,not_inst,86.50442478,south,direct,1,59
66604,2019,cf,Joint,nopre,type3,p4,l1,nopc,nob/c,476500,2.99,-0.511,4624.49,360,not_neg,int_only,not_lpsm,618000,sb,pr,home,1U,,CIB,775,EXP,55-64,to_inst,77.10355987,North,direct,0,
30651,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,426500,3.49,-0.1398,4200,360,not_neg,not_int,not_lpsm,428000,sb,pr,home,1U,6540,EXP,849,CIB,65-74,to_inst,99.64953271,North,direct,0,32
66716,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,306500,,,,360,not_neg,int_only,not_lpsm,338000,sb,pr,home,1U,4620,CRIF,766,CIB,35-44,to_inst,90.68047337,south,direct,1,34
146858,2019,cf,Male,pre,type3,p3,l1,nopc,nob/c,106500,3.625,-0.0758,2000,360,not_neg,not_int,not_lpsm,138000,sb,pr,home,1U,1320,CRIF,503,CIB,65-74,to_inst,77.17391304,south,direct,0,37
110028,2019,ncf,Joint,nopre,type3,p4,l1,nopc,nob/c,556500,3.375,-0.3581,155.02,360,not_neg,not_int,not_lpsm,578000,sb,pr,home,1U,,CRIF,856,EXP,35-44,not_inst,96.28027682,south,direct,0,
76070,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,566500,4.125,0.5092,170.7,360,neg_amm,not_int,not_lpsm,728000,sb,pr,home,1U,6540,CRIF,800,CIB,35-44,not_inst,77.81593407,North,direct,0,41
38202,2019,cf,Sex Not Available,nopre,type1,p2,l1,nopc,nob/c,206500,3.25,-0.2538,,360,not_neg,not_int,lpsm,358000,sb,pr,home,1U,2520,EXP,616,CIB,55-64,to_inst,57.68156425,south,direct,0,46
88623,2019,cf,Female,pre,type1,p4,l1,nopc,nob/c,406500,3.875,0.1514,4292,360,not_neg,not_int,not_lpsm,488000,sb,pr,home,1U,6600,CIB,849,CIB,55-64,to_inst,83.29918033,North,direct,0,39
137715,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,226500,3.625,0.0641,812,360,not_neg,not_int,not_lpsm,588000,sb,pr,home,1U,4260,CIB,728,CIB,55-64,not_inst,38.52040816,North,direct,0,21
85615,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,726500,4.99,0.7452,2058.16,360,not_neg,not_int,not_lpsm,848000,sb,pr,home,1U,11700,CRIF,787,CIB,35-44,to_inst,85.67216981,south,direct,0,40
87887,2019,cf,Female,nopre,type1,p1,l2,nopc,nob/c,56500,,,,300,neg_amm,not_int,not_lpsm,58000,sb,pr,home,1U,1440,CIB,693,CIB,55-64,to_inst,97.4137931,North,direct,1,57
125643,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,396500,3.75,-0.0272,0,360,not_neg,not_int,not_lpsm,528000,sb,pr,home,1U,11460,EXP,730,EXP,55-64,not_inst,75.09469697,North,direct,0,48
171796,2019,cf,Sex Not Available,nopre,type2,p2,l1,nopc,b/c,56500,,,,360,not_neg,not_int,lpsm,,sb,pr,home,1U,1140,EQUI,858,EXP,55-64,to_inst,,south,direct,1,
102914,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,106500,5.5,1.2348,2753.35,360,neg_amm,not_int,not_lpsm,148000,sb,ir,home,1U,7680,EXP,744,EXP,45-54,to_inst,71.95945946,south,direct,0,32
81296,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,156500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,1740,EQUI,531,EXP,65-74,to_inst,,south,direct,1,
102183,2019,cf,Sex Not Available,nopre,type3,p4,l1,nopc,nob/c,316500,3.25,-0.4137,3580.32,360,not_neg,not_int,not_lpsm,368000,sb,pr,home,1U,,CRIF,552,EXP,65-74,to_inst,86.00543478,south,direct,0,
94225,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,296500,4.5,-0.0559,6578.6,360,not_neg,not_int,not_lpsm,508000,sb,pr,home,1U,6540,EXP,549,CIB,65-74,to_inst,58.36614173,south,direct,0,22
33503,2019,cf,Sex Not Available,nopre,type3,p4,l1,nopc,nob/c,156500,3.375,-0.3314,594.75,360,not_neg,not_int,not_lpsm,188000,sb,pr,home,1U,,EXP,823,EXP,55-64,to_inst,83.24468085,south,direct,0,
73711,2019,cf,Male,pre,type1,p4,l1,nopc,nob/c,606500,3.99,0.1202,0,360,not_neg,not_int,not_lpsm,778000,sb,pr,home,1U,8400,CRIF,786,CIB,55-64,to_inst,77.9562982,central,direct,0,37
51217,2019,cf,Female,pre,type1,p4,l1,nopc,nob/c,296500,3.5,-0.1589,3612.6,360,not_neg,not_int,not_lpsm,518000,sb,pr,home,1U,7920,EXP,625,CIB,45-54,not_inst,57.23938224,North,direct,0,28
76177,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,236500,4.375,-0.0963,85.23,360,neg_amm,not_int,not_lpsm,438000,sb,pr,home,1U,4620,EXP,739,EXP,>74,not_inst,53.99543379,North,direct,0,26
111508,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,316500,4.625,0.2519,0,360,not_neg,not_int,not_lpsm,808000,sb,pr,home,1U,8100,CIB,509,EXP,>74,to_inst,39.17079208,North,direct,0,47
140990,2019,,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,216500,4.875,1.4996,5490,360,not_neg,not_int,not_lpsm,268000,sb,pr,home,1U,6180,EXP,501,CIB,65-74,to_inst,80.78358209,south,direct,0,41
108247,2019,cf,Male,nopre,type3,p4,l1,nopc,nob/c,196500,2.99,-0.6717,2870.45,300,not_neg,not_int,not_lpsm,368000,sb,pr,home,1U,,EXP,625,EXP,65-74,to_inst,53.39673913,North,direct,0,
37062,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,236500,3.99,0.5574,7638.39,348,not_neg,not_int,not_lpsm,368000,sb,pr,home,1U,4620,EXP,748,EXP,65-74,to_inst,64.26630435,south,direct,0,43
57079,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,236500,3.5,-0.0674,1236.35,360,not_neg,int_only,not_lpsm,418000,sb,pr,home,1U,7140,CIB,566,EXP,65-74,not_inst,56.57894737,North,direct,0,31
69037,2019,cf,Female,pre,type1,p3,l1,nopc,nob/c,276500,4.56,0.2374,3249.25,360,not_neg,not_int,not_lpsm,408000,sb,pr,home,1U,4260,CIB,775,EXP,45-54,to_inst,67.76960784,south,direct,0,44
151976,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,126500,3.25,0.5652,3706.25,180,not_neg,not_int,not_lpsm,308000,sb,pr,home,1U,3840,CIB,535,CIB,55-64,to_inst,41.07142857,south,direct,0,22
81048,2019,cf,Female,nopre,type3,p3,l1,nopc,nob/c,486500,4.5,0.4,5306.89,360,not_neg,not_int,not_lpsm,528000,sb,pr,home,1U,3660,CRIF,668,CIB,>74,to_inst,92.14015152,North,direct,0,51
132537,2019,ncf,Male,nopre,type2,p3,l1,nopc,b/c,186500,4.5,1.0845,1172.98,360,not_neg,not_int,not_lpsm,218000,sb,pr,home,1U,3600,CIB,900,CIB,35-44,to_inst,85.55045872,North,direct,0,57
62015,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,356500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,15060,EQUI,749,EXP,45-54,not_inst,,North,direct,1,
35273,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,686500,3.625,-0.0677,205.41,360,not_neg,not_int,not_lpsm,1238000,sb,pr,home,1U,9540,CIB,666,CIB,55-64,not_inst,55.45234249,south,direct,0,46
47473,2019,cf,Sex Not Available,nopre,type3,p3,l1,nopc,nob/c,126500,4.5,0.3118,2632.88,360,not_neg,not_int,not_lpsm,308000,sb,pr,home,1U,3360,EXP,621,EXP,65-74,to_inst,41.07142857,south,direct,0,41
68786,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,476500,3.625,0.0995,1184.35,360,not_neg,not_int,not_lpsm,508000,sb,pr,home,1U,6900,EXP,823,EXP,35-44,not_inst,93.7992126,North,direct,0,44
146504,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,376500,4.25,-0.0832,2105.78,360,neg_amm,not_int,not_lpsm,398000,sb,pr,home,1U,4860,CRIF,801,CIB,25-34,not_inst,94.59798995,south,direct,0,41
61754,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,256500,3.99,0.3349,6300,360,not_neg,not_int,not_lpsm,438000,sb,pr,home,1U,5160,EXP,638,EXP,35-44,to_inst,58.56164384,North,direct,0,40
64247,2019,cf,Female,nopre,type2,p4,l1,nopc,b/c,196500,3.99,1.1476,0,360,not_neg,not_int,not_lpsm,268000,sb,pr,home,1U,,EXP,772,CIB,45-54,to_inst,73.32089552,North,direct,0,
166210,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,486500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,10980,EQUI,859,EXP,55-64,to_inst,,south,direct,1,
73117,2019,cf,Male,pre,type1,p3,l1,nopc,nob/c,196500,5.375,1.3171,6537.38,360,not_neg,not_int,not_lpsm,268000,sb,pr,home,1U,4560,EXP,695,CIB,65-74,to_inst,73.32089552,North,direct,0,38
58969,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,486500,3.375,0.3625,2460.88,180,not_neg,not_int,not_lpsm,688000,sb,pr,home,1U,10980,EXP,833,CIB,45-54,to_inst,70.7122093,North,direct,0,46
89759,2019,cf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,96500,,,,300,neg_amm,not_int,not_lpsm,108000,sb,pr,home,1U,2100,EXP,620,CIB,<25,to_inst,89.35185185,south,direct,1,51
138842,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,116500,5.375,1.2589,3530,360,not_neg,not_int,not_lpsm,158000,sb,pr,home,1U,1740,EXP,571,CIB,>74,to_inst,73.73417722,North,direct,0,38
83445,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,606500,3.875,0.1698,6060,360,not_neg,not_int,not_lpsm,688000,sb,pr,home,1U,11460,CRIF,777,EXP,25-34,not_inst,88.15406977,North,direct,0,36
42392,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,366500,4.18,-0.028,0,300,not_neg,not_int,not_lpsm,438000,sb,pr,home,1U,6360,CRIF,848,EXP,35-44,not_inst,83.67579909,central,direct,0,34
154914,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,106500,3.625,0.332,3334.5,180,not_neg,not_int,not_lpsm,248000,sb,pr,home,1U,4740,CRIF,704,EXP,>74,to_inst,42.94354839,south,direct,0,39
139774,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,176500,,,,180,not_neg,not_int,not_lpsm,188000,sb,ir,home,1U,2880,EXP,705,CIB,55-64,to_inst,93.88297872,south,direct,1,43
82657,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,256500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,5940,EQUI,608,EXP,55-64,to_inst,,North,direct,1,
